Criteria,Size RMSE,Size MAE,Size R2,Size Accuracy
original,0.7305770103910113,0.5422684620407549,0.7138464243481182,0.896551724137931
A,0.7427645900844484,0.5513843632949845,0.704219488152773,0.8896551724137931
B,0.7449441761296896,0.5409231610413913,0.7024810505226341,0.896551724137931
C,0.7367736227932493,0.5398474959399571,0.7089716399881996,0.903448275862069
D,0.754213028896442,0.5504109363836243,0.6950313239472166,0.896551724137931
E,0.7449440905445455,0.540923107805479,0.7024811188853424,0.896551724137931
F,0.742165388036545,0.5491387451166488,0.704696518971144,0.8758620689655172
G,0.7503881826928597,0.5523585632989662,0.6981166605932434,0.8896551724137931
