Criteria,Length RMSE,Length MAE,Length R2,Length Accuracy
original,3.4019345915420285,2.4852734238941134,0.5825487972448298,0.8896551724137931
A,3.3949767712443353,2.4720217626543586,0.5846299558759506,0.896551724137931      　　　　　　　　　B,3.3945436439491115,2.4526032455903217,0.5796562660148286,0.8827586206896552
C,3.4149041545295495,3.066961497907835,0.2979540164044172,0.8482758620689655
D,3.471653140309322,2.4971856495994422,0.570306190466513,0.8896551724137931
E,3.3814524503207455,2.486009430362898,0.5841246831539815,0.8827586206896552
F,3.3406616731990657,2.5168529375199826,0.5564197395973267,0.8689655172413793
G,3.4734084513964425,2.7812561576354677,0.3692381127801183,0.8068965517241379
