Model,Size RMSE,Size MAE,Size R2,Size Accuracy
Linear,0.7593951520333333,0.5629510529466787,0.7000833494118374,0.8675496688741722
SVR,0.7554750719513449,0.5519343129765676,0.7066983329456642,0.8741721854304636
LGBM,0.7603762565346777,0.556206260597395,0.7028803681333807,0.9006622516556292
Random Forest,0.7741781717334085,0.5709955867993253,0.6920704572463177,0.9072847682119205
Gradient Boosting,0.7677942726338661,0.5589085312730301,0.6986236282380522,0.8874172185430463
MLP,0.7457851009521306,0.5518200273544983,0.7141740472287748,0.8940397350993378
