Model,Length RMSE,Length MAE,Length R2,Length Accuracy
Linear,3.6537208459176496,2.6526672949350454,0.5589657361056746,0.8874172185430463
SVR,3.756196152087515,2.6177983504975684,0.5405181906060271,0.8675496688741722
LGBM,3.623942400933201,2.5573538721946103,0.5723048076623121,0.8741721854304636
Random Forest,3.579639715289374,2.6075965299562376,0.5520677242128047,0.8741721854304636
Gradient Boosting,3.668728192502105,2.595222097501562,0.5320800433710247,0.8741721854304636
MLP,3.680688259601033,2.6887762772925283,0.5588057258436634,0.8741721854304636
