number,inlet_MaximumInscribedSphereRadius,outlet_MaximumInscribedSphereRadius,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180
34.0,1.4662,1.468,1.4643,1.4545,1.419,1.3876,1.4201,1.4657,1.5297,1.6134,1.6384,1.6833,1.7428,1.749,1.7657,1.7967,1.8615,1.9199,1.971,2.1755,2.3114,2.5329,2.7555,2.8083,2.8533,2.83,2.5952,2.5821,2.3234,2.2523,2.0932,1.4692,1.481,1.4517,1.4395,1.4176,1.4247,1.4471,1.4519,1.4909,1.4893,1.4648,1.4465,1.4254,1.386,1.3866,1.3739,1.3725,1.3832,1.4205,1.5253,1.5405,1.5646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,1.5449,1.5454,1.54,1.5172,1.4846,1.5206,1.5458,1.898,1.9902,2.197,2.4515,2.5674,2.9601,2.7775,2.0881,2.309,2.4593,2.2752,1.2495,2.0383,2.3618,2.295,2.5977,2.3729,1.821,2.3865,2.5921,2.9072,2.9371,2.93,2.1291,2.9443,2.5387,2.5578,2.368,1.6195,1.6532,1.7151,1.7661,1.7815,1.3644,0.9323,0.94682,1.021,1.173,1.2477,1.3748,1.5325,1.9161,2.2064,2.2229,2.293,2.3617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0,1.819,1.7931,1.7536,1.7557,1.7557,1.7548,1.7764,1.784,1.8146,1.8603,1.8662,1.8788,1.8912,1.8753,1.8868,1.9119,1.944,2.0563,2.1246,2.2695,2.3258,2.36,2.6009,2.8349,2.8827,2.8842,2.9111,2.8925,2.6818,2.5025,2.4113,2.2262,1.5371,1.4714,1.4582,1.4812,1.5132,1.518,1.5387,1.5463,1.5661,1.5974,1.6286,1.6611,1.7053,1.7295,1.7384,1.7477,1.7529,1.764,1.773,1.7732,1.7885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,1.7815,1.7844,1.7919,1.8076,1.8082,1.808,1.8017,1.8154,1.837,1.8265,1.8092,1.8016,1.6655,1.6438,1.6149,1.4238,1.4751,1.4423,1.4677,1.5889,1.9317,1.933,1.9579,2.3324,2.3842,2.402,2.4744,1.6297,1.6823,1.6671,1.4677,1.4912,1.6645,1.972,1.9917,2.0169,2.0362,2.0379,2.0394,2.0412,2.0281,2.0201,2.0163,1.9977,1.9407,1.9136,1.8912,1.8558,1.7489,1.6546,1.67,1.6701,1.6785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,1.4141,1.4173,1.4173,1.421,1.4378,1.4395,1.4385,1.43,1.3969,1.3922,1.3394,1.3386,1.3389,1.344,1.4181,1.4353,1.4711,1.5783,1.6732,1.7231,1.7403,1.7792,1.7986,1.7822,1.6122,1.5829,1.4644,1.4556,1.4398,1.2673,1.2447,1.2856,1.2858,1.2825,1.2581,1.2486,1.3049,1.3265,1.3267,1.3538,1.3794,1.3868,1.3998,1.4055,1.4207,1.4556,1.4568,1.479,1.4801,1.4902,1.4854,1.4826,1.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,1.7277,1.7587,1.7442,1.7269,1.7259,1.6624,1.5972,1.5139,1.4358,1.4238,1.4938,1.5444,1.568,1.6502,1.6544,1.7384,1.9582,2.0246,2.198,2.2846,2.3721,2.5096,2.5961,2.68,2.7088,2.7505,2.6647,2.6013,2.5341,2.5289,2.1788,1.9973,1.9662,1.9362,1.8166,1.8036,1.8019,1.801,1.7932,1.7938,1.7938,1.7823,1.7886,1.7917,1.7885,1.7754,1.7761,1.7904,1.7941,1.8081,1.7965,1.7938,1.7705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,1.7948,1.795,1.7817,1.7724,1.7675,1.7749,1.7856,1.7805,1.7674,1.7185,1.6386,1.494,1.3995,1.3325,1.3104,1.4354,1.6606,1.8142,1.8154,2.2902,2.8742,3.0626,3.6019,3.6819,3.8974,4.247,4.3407,4.6105,3.4395,3.4484,4.7167,4.5562,3.9147,3.1864,3.1842,2.9486,2.8038,2.7392,2.5356,2.2469,2.1803,2.1205,2.117,2.0873,2.0855,2.1002,2.162,2.1624,2.1546,2.1393,2.1538,2.1613,2.1903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,1.3719,1.38,1.3564,1.3565,1.3805,1.3805,1.3789,1.4031,1.429,1.4959,1.5288,1.5972,1.6059,1.6887,1.7249,1.7624,1.8371,1.9432,2.0073,2.1037,2.239,2.2397,2.4767,2.669,2.8254,2.965,3.0882,3.2429,3.0468,2.976,2.5009,1.9503,1.9517,1.8224,1.7835,1.7513,1.6982,1.4492,1.4413,1.404,1.4496,1.4885,1.5851,1.5991,1.6225,1.624,1.7161,1.7459,1.8131,1.8505,1.8599,1.8646,1.9019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,1.3742,1.3674,1.2855,1.2536,1.2491,1.2434,1.2283,1.2237,1.226,1.2245,1.2157,1.1306,1.1068,1.0483,1.0472,1.0505,1.0633,1.0748,1.0626,1.0742,1.1062,1.1643,1.1715,1.262,1.3412,1.4258,1.5299,1.534,1.5952,1.7311,1.9426,2.0139,2.0812,1.9749,1.9544,1.4015,1.3739,1.263,1.235,1.2302,1.2878,1.3079,1.403,1.4283,1.5151,1.5498,1.5643,1.5746,1.583,1.5763,1.5503,1.4796,1.4686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,2.0019,2.0036,2.0037,2.0199,2.0012,1.977,1.9733,1.9801,1.9971,1.9974,2.0208,2.0313,2.0663,2.1189,2.2321,2.2325,2.2456,2.4108,2.5418,2.7011,2.7697,2.935,3.1614,3.4561,3.511,3.7774,3.9319,3.9324,3.9582,3.9551,3.8632,2.6488,2.608,2.4437,2.3589,2.2436,2.1279,2.1084,2.0786,2.0787,2.1538,2.1724,2.1723,2.1482,2.1476,2.1539,2.168,2.2265,2.2273,2.2895,2.2901,2.2771,2.2513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,1.8366,1.8841,1.8895,1.9302,1.932,1.9451,1.9464,1.9539,1.9706,1.9708,1.9896,2.0211,2.1187,2.1952,2.2182,2.1911,2.1892,2.1136,2.0565,1.9662,1.9297,1.9296,1.9774,1.9809,1.9097,1.7616,1.6521,1.609,1.5774,1.407,1.1709,1.1708,1.1845,1.1998,1.1996,1.1982,1.1791,1.1729,1.1877,1.1951,1.2089,1.2367,1.2529,1.2845,1.3122,1.3259,1.3383,1.3343,1.328,1.3,1.2964,1.281,1.3514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,1.3709,1.3677,1.3634,1.3098,1.3078,1.263,1.2207,1.1741,1.1708,1.1531,1.1934,1.1944,1.2234,1.3411,1.392,1.4427,1.4926,1.6819,1.7074,1.846,2.1369,2.381,2.5841,2.9767,3.3541,3.355,3.4522,3.2221,1.9129,1.8483,1.6458,1.5573,1.5041,1.5074,1.4912,1.4143,1.4165,1.4225,1.4329,1.4275,1.4262,1.283,1.1603,1.2831,1.4373,1.476,1.5899,1.5946,1.6163,1.6724,1.7092,1.7114,1.6917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.0,1.7416,1.7541,1.7571,1.7522,1.7234,1.6982,1.7128,1.7134,1.6968,1.7088,1.7035,1.7096,1.7331,1.81,1.8405,2.1405,2.1411,2.2129,2.287,2.3217,2.343,2.3573,2.361,2.3577,2.3421,2.3342,2.3279,2.3225,2.326,2.3316,2.3352,2.3379,2.3354,2.3028,2.2996,2.1961,2.1415,2.1376,2.0905,2.0882,2.0986,2.1142,2.1184,2.0989,1.8335,1.8334,1.8022,1.8016,1.7912,1.8092,1.8351,1.8437,1.8502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
